溥天之下，莫非王土；率土之滨，莫非王臣	ptfj
为众人抱薪者，不可使其冻毙于风雪	wfrx
忍一时风平浪静，退一步海阔天空	ryek
人到中年不得已，保温杯里泡枸杞	rdfq
两耳不闻窗外事，一心只读圣贤书	lxbev
害人之心不可有，防人之心不可无	hrfwo
赚着卖白菜的钱，操着卖白粉的心	ffmx
身后有余忘缩手，眼前无路想回头	ehyt
书中自有黄金屋，书中自有颜如玉	efzy
中国共产主义青年团中央委员会	fgghi
穷则独善其身，达则兼济天下	qzdx
造谣一张嘴，辟谣跑断腿	zyytu
以其人之道还治其人之身	yqrea
未经他人苦，莫劝他人善	wjte
吃得苦中苦，方为人上人	wdkr
万般皆下品，唯有读书高	wbjgv
天王盖地虎，宝塔镇河妖	twgy
人生不如意事，十有八九	rebj
宁可信其有，不可信其无	nkxw
面前心连心，背后动脑筋	mqxj
理想很丰满，现实很骨感	lxhgv
叫天天不应，叫地地不灵	jttl
撑死胆大的，饿死胆小的	jsdd
静中见真境，淡中识本然	jfjr
建设有中国特色社会主义	jeyyao
公说公有理，婆说婆有理	geglu
本来无一物，何处染尘埃	blwxv
我不入地狱，谁入地狱	wbry
科学技术是第一生产力	kxjlu
获得性免疫缺陷综合征	hdxq
中国特色社会主义道路	fgtli
中国人民政治协商会议	fgry
打碎了牙齿往肚子里咽	dslyi
做一天和尚撞一天钟	zytfi
子非鱼，焉知鱼之乐	zfyla
用人不疑，疑人不用	yrby
一日不见，如隔三秋	yrbq
缘起即灭，缘生已空	yqjk
以己昏昏，使人昭昭	yjhf
衣不如新，人不如故	ybrg
心有猛虎，细嗅蔷薇	xymwo
耳听为虚，眼见为实	xtwe
晓之以理，动之以情	xfyq
仇人相见，分外眼红	wrxh
吃着碗里，瞧着锅里	wfwl'
吃着碗里，看着锅里	wfwl
桃李不言，下自成蹊	tlbx
扫清六合，席卷八荒	sqlh
日有所思，夜有所梦	rysm
人无远虑，必有近忧	rwyy
如人饮水，冷暖自知	rryf
人之将死，其言也善	rfjei
人非圣贤，孰能无过	rfegi
全心全意为人民服务	qxqwi
丈二和尚摸不着头脑	qxhn
千军易得，一将难求	qjyqu
普天之下，莫非王土	ptft
宁为玉碎，不为瓦全	nwyq
宁为鸡头，不为凤角	nwjj
逆水行舟，不进则退	next
马克思主义基本原理	mksla
面朝大海，春暖花开	mjdkv
谋事在人，成事在天	mezt
林子大了什么鸟都有	lzdyv
蝉翼为重，千钧为轻	jywq
乘兴而来，败兴而归	jxxgu
兼听则明，偏信则暗	jtzx
家庭联产承包责任制	jtlf
己所不欲，勿施于人	jsbra
城门失火，殃及池鱼	jmey
春生夏长，秋收冬藏	jexcv
成事不足，败事有余	jeby
花开两朵，各表一枝	hklf
孤阴不生，独阳不长	gybqa
各回各家，各找各妈	ghgm
执子之手，与子偕老	fzfl
知其然不知其所以然	fqrru
知己知彼，百战不殆	fjfd
中国特色的社会主义	fgtyi
翻手为云，覆手为雨	fewy
水清濯缨，水浊濯足	eqfz
恃美扬威，恃美而骄	emyj
盛名之下，其实难副	emff
身怀利器，杀心自起	ehlq
手中有粮，心中不慌	efyh
食之无味，弃之可惜	efwx
失之东隅，收之桑榆	efdyu
杀敌一千，自损八百	edybu
单则易折，众则难摧	dzyc
当一天和尚撞一天钟	dytfi
邓小平理论伟大旗帜	dxpfa
当局者迷，旁观者清	djfq
低调做人，高调做事	ddze
党的十一届三中全会	ddehi
慈不掌兵，仁不行贾	cbqgo
不在其位，不谋其政	bzqqv
不以物喜，不以己悲	bywb
八仙过海，各显神通	bxgt
不吃羊肉空惹一身膻	bwyevo
不入虎穴，焉得虎子	brhz
不怕一万，就怕万一	bpyyv
不经一事，不长一智	bjyfva
不知有汉，何论魏晋	bfyjv
比上不足，比下有余	beby
鱼与熊掌不可兼得	yyxduv
淹死的都是会水的	ysdda
一人吃饱全家不饿	yrwx
燕雀安知鸿鹄之志	yqxf
以经济建设为中心	yjjx
阿拉伯联合酋长国	xlbg
新疆维吾尔自治区	xjwq
三人行，必有我师	srxe
人民代表大会制度	rmdd
朝闻道，夕死可矣	qwdy
全面建设小康社会	qmjh
青出于蓝而胜于蓝	qjylva
全国人民代表大会	qgrh
巧妇难为无米之炊	qfnwv
前不着村后不着店	qbqdo
前不着村后不着店	qbfdo
癞蛤蟆想吃天鹅肉	lhmro
联合国教科文组织	lhgfv
抗日民族统一战线	krmx
坚持四项基本原则	jwszi
具体情况具体分析	jtqx
家家有本难念的经	jjyjo
急惊风撞着慢郎中	jjffuo
经报上级审批同意	jbey
好言难劝该死的鬼	hyng
和平共处五项原则	hpgzu
会哭的孩子有奶吃	hkdw
好记性不如烂笔头	hjxta
狗嘴里吐不出象牙	gzly
过了这村就没这店	glqdv
过了这村就没这店	glfdv
中央人民广播电台	fyrti
朝闻道，夕死可矣	fwdyuo
知其然知其所以然	fqrr
只可意会不可言传	fkyw
中华民族伟大复兴	fhmx
中国特色社会主义	fgty
中国科学技术大学	fgkxi
中国国际广播电台	fggt
中国—东盟博览会	fgdh
壮士一去兮不复返	feyfo
拾万仟佰拾元角分	ewqf
十万千百十元角分	ewqf
瘦死的骆驼比马大	esddo
是可忍，孰不可忍	ekrr
深化改革领导小组	ehgza
生不带来死不带去	ebdq
多一事不如少一事	dyee
独乐乐不如众乐乐	dllluu
大规模杀伤性武器	dgmq
苍蝇不叮无缝的蛋	cybd
百尺竿头更进一步	bwgb
北京航空航天大学	bjhxi
不知人间有羞耻事	bfre
剥夺政治权利终身	bdqea
宰相肚里能撑船	zxdw
醉翁之意不在酒	zwfjv
最高人民检察院	zgryo
早睡早起身体好	zezho
最熟悉的陌生人	zexr
再生障碍性贫血	zeqxv
冤有头，债有主	yytq
有缘千里来相会	yyqh
油盐柴米酱醋茶	yyjwa
一而再，再而三	yxzsv
要想富，先修路	yxflv
一传十，十传百	yweb
月如无恨月长圆	yrwy
有情人终成眷属	yqrev
有钱能使鬼推磨	yqnm
一切尽在不言中	yqjf
有其父必有其子	yqfzv
羊毛出在羊身上	ymjeo
远来和尚好看经	ylhj
一骑红尘妃子笑	yjhxv
一将功成万骨枯	yjgk
一觉睡到自然醒	yjex
以公有制为主体	ygyta
